branch,arxiv,task,placeholder,scorer,score
"continuum, first-quantized",1010.1819,"Construct Kinetic Hamiltonian (continuum version, single-particle)",system,Haining,1
"continuum, first-quantized",1010.1819,"Construct Kinetic Hamiltonian (continuum version, single-particle)",system,Will,(TODO)
"continuum, first-quantized",1010.1819,"Construct Kinetic Hamiltonian (continuum version, single-particle)",system,Yasaman,0
"continuum, first-quantized",1010.1819,"Construct Kinetic Hamiltonian (continuum version, single-particle)",real|momentum,Haining,0
"continuum, first-quantized",1010.1819,"Construct Kinetic Hamiltonian (continuum version, single-particle)",real|momentum,Will,(TODO)
"continuum, first-quantized",1010.1819,"Construct Kinetic Hamiltonian (continuum version, single-particle)",real|momentum,Yasaman,2
"continuum, first-quantized",1010.1819,"Construct Kinetic Hamiltonian (continuum version, single-particle)",single-particle|second-quantized,Haining,0
"continuum, first-quantized",1010.1819,"Construct Kinetic Hamiltonian (continuum version, single-particle)",single-particle|second-quantized,Will,(TODO)
"continuum, first-quantized",1010.1819,"Construct Kinetic Hamiltonian (continuum version, single-particle)",single-particle|second-quantized,Yasaman,2
"continuum, first-quantized",1010.1819,"Construct Kinetic Hamiltonian (continuum version, single-particle)",degrees_of_freedom,Haining,1
"continuum, first-quantized",1010.1819,"Construct Kinetic Hamiltonian (continuum version, single-particle)",degrees_of_freedom,Will,(TODO)
"continuum, first-quantized",1010.1819,"Construct Kinetic Hamiltonian (continuum version, single-particle)",degrees_of_freedom,Yasaman,0
"continuum, first-quantized",1010.1819,"Construct Kinetic Hamiltonian (continuum version, single-particle)",kinetic_symbol,Haining,0
"continuum, first-quantized",1010.1819,"Construct Kinetic Hamiltonian (continuum version, single-particle)",kinetic_symbol,Will,(TODO)
"continuum, first-quantized",1010.1819,"Construct Kinetic Hamiltonian (continuum version, single-particle)",kinetic_symbol,Yasaman,0
"continuum, first-quantized",1010.1819,"Construct Kinetic Hamiltonian (continuum version, single-particle)",variable,Haining,0
"continuum, first-quantized",1010.1819,"Construct Kinetic Hamiltonian (continuum version, single-particle)",variable,Will,(TODO)
"continuum, first-quantized",1010.1819,"Construct Kinetic Hamiltonian (continuum version, single-particle)",variable,Yasaman,0
"continuum, first-quantized",1010.1819,"Construct Kinetic Hamiltonian (continuum version, single-particle)",order,Haining,1
"continuum, first-quantized",1010.1819,"Construct Kinetic Hamiltonian (continuum version, single-particle)",order,Will,(TODO)
"continuum, first-quantized",1010.1819,"Construct Kinetic Hamiltonian (continuum version, single-particle)",order,Yasaman,1
"continuum, first-quantized",1010.1819,"Construct Kinetic Hamiltonian (continuum version, single-particle)",definition_of_variables,Haining,2
